x,y
336.4,330.1
333.2,374.2
334.3,420.6
339.0,463.9
350.5,503.9
370.3,536.4
392.0,560.2
419.3,575.6
454.4,580.5
491.4,578.5
524.0,561.7
552.2,537.2
574.2,506.9
590.0,471.9
600.7,435.4
608.3,397.4
611.8,360.0
363.2,288.4
388.1,277.9
414.8,278.6
438.6,286.2
459.3,298.1
508.3,302.0
533.6,295.5
557.7,293.5
582.1,297.3
599.2,312.7
483.0,324.2
479.6,352.3
476.4,380.4
473.5,409.4
436.4,421.7
451.3,429.6
468.1,436.7
486.8,433.6
502.9,428.5
385.0,322.4
402.1,315.2
420.7,317.1
436.1,328.2
417.9,329.8
399.3,328.5
519.3,336.5
537.9,328.4
555.9,330.6
569.5,340.7
554.9,343.6
537.3,341.1
401.9,476.3
427.1,467.4
449.9,464.2
463.8,469.5
480.2,467.6
500.7,475.7
520.8,487.8
497.6,498.6
475.5,501.5
458.3,501.0
442.7,498.3
421.9,491.4
410.5,478.2
448.0,477.8
462.7,480.3
479.1,480.8
511.6,488.2
478.0,481.4
461.3,481.4
446.8,479.2
