x,y
103.5,316.3
111.3,392.6
128.0,466.5
149.6,537.0
180.6,598.7
223.7,656.1
276.4,711.1
338.3,758.6
411.1,775.0
479.2,758.7
536.4,705.9
591.9,646.1
634.3,587.5
662.2,527.4
681.7,460.7
693.7,388.7
698.5,312.2
107.4,225.6
141.5,197.2
191.9,195.1
247.2,212.7
299.0,242.5
476.3,245.5
532.7,210.8
589.6,191.1
642.7,190.3
676.5,215.9
396.5,332.6
395.9,397.1
396.0,461.3
396.2,525.1
328.9,541.6
363.0,556.4
397.9,568.0
433.0,556.2
465.1,539.7
181.1,313.6
216.9,291.9
269.6,297.5
311.5,337.7
267.3,347.9
214.0,345.6
478.1,338.4
519.9,294.6
572.1,289.6
610.3,311.5
578.8,342.0
526.7,348.2
277.5,612.5
324.3,619.4
368.6,621.3
397.6,629.6
427.8,620.9
475.0,619.5
525.2,608.2
478.3,660.7
432.1,686.2
399.1,689.8
368.1,686.1
322.7,660.1
295.7,617.4
369.9,643.5
399.1,647.8
430.5,643.2
505.0,615.8
430.3,645.8
399.2,650.4
369.6,645.8
