x,y
315.7,150.9
311.3,191.1
310.6,231.6
315.4,272.6
331.8,309.1
357.4,342.3
388.5,369.2
424.9,384.2
461.7,385.2
496.4,376.8
525.8,352.9
550.6,325.9
567.6,296.2
580.2,266.9
592.5,237.8
601.0,209.4
606.1,179.4
382.6,108.6
404.1,88.4
431.7,79.1
459.8,82.3
482.3,95.3
512.2,99.3
535.7,94.1
557.1,97.5
576.7,110.5
585.9,131.2
494.4,135.9
492.0,162.2
490.2,188.2
488.4,214.3
450.4,231.7
465.0,237.7
479.5,244.1
494.4,241.8
507.0,238.4
416.4,134.7
433.3,125.5
449.3,128.8
457.0,142.8
445.9,143.6
429.5,141.0
518.1,151.0
532.6,140.5
547.5,142.3
555.5,155.0
546.5,157.8
532.4,156.0
411.2,280.9
436.7,270.0
459.2,267.1
474.4,272.9
491.6,271.8
507.1,278.4
516.0,291.7
501.3,306.1
485.0,311.4
468.1,311.9
450.7,308.3
430.7,300.2
419.3,281.5
456.7,280.3
472.3,283.8
489.5,283.7
509.7,292.0
487.0,294.4
470.0,295.4
454.2,292.2
