x,y
165.2,191.5
150.1,275.7
144.1,361.3
144.3,438.0
158.1,506.8
191.6,565.5
238.3,616.2
291.1,664.8
363.5,694.7
446.1,712.2
524.7,685.3
596.5,642.0
650.8,583.0
692.7,514.8
722.7,446.7
740.8,375.5
751.3,299.3
264.2,183.8
314.7,161.6
371.8,165.5
425.1,192.9
464.6,234.1
507.6,235.5
552.0,214.7
604.0,206.6
655.9,214.1
687.7,251.3
487.8,282.9
476.3,348.7
465.3,413.1
454.4,477.5
380.3,467.0
408.1,491.9
438.7,513.3
473.7,510.5
503.6,503.1
311.9,240.3
349.5,233.6
383.0,246.4
404.7,283.8
373.7,276.9
337.7,267.1
538.9,307.5
575.8,281.7
610.1,285.2
633.5,311.2
607.5,320.8
573.3,316.7
296.9,505.8
349.0,518.4
393.5,532.1
418.5,549.6
453.6,550.5
489.7,560.7
532.6,568.1
478.9,590.1
436.0,594.9
400.9,588.0
371.8,573.5
334.8,545.5
311.7,515.6
385.9,550.9
413.5,564.7
448.2,569.3
516.7,567.9
445.4,568.7
410.1,563.3
382.2,550.5
