x,y
337.3,66.1
337.6,72.1
338.4,78.2
339.7,83.9
342.2,89.1
346.3,93.4
351.3,96.6
357.1,98.9
362.8,99.4
367.8,98.8
371.8,96.4
375.3,93.1
378.3,88.7
380.2,83.5
381.3,77.8
381.9,72.0
382.0,66.3
343.0,59.5
346.5,56.5
351.0,55.4
355.6,55.7
359.7,57.0
367.1,56.9
370.8,55.6
374.6,55.5
378.1,56.7
380.5,59.6
363.6,61.7
364.1,65.1
364.5,68.5
365.0,72.0
359.2,75.7
361.7,76.4
364.2,76.9
366.4,76.4
368.4,75.8
348.1,63.3
350.9,61.6
354.0,61.6
356.6,63.5
353.9,64.0
350.8,64.1
368.6,63.6
371.2,61.6
374.1,61.8
376.3,63.4
374.4,64.2
371.5,64.1
353.9,84.2
358.0,82.0
361.8,80.9
364.0,81.4
366.3,80.9
369.2,82.1
371.5,84.2
369.2,86.7
366.5,87.7
363.9,87.9
361.5,87.7
357.8,86.7
355.4,84.2
361.6,83.0
363.9,83.1
366.3,83.0
370.3,84.2
366.2,84.8
363.8,85.1
361.5,84.9
