x,y
136.9,170.7
136.6,196.6
139.0,223.5
143.9,249.8
152.6,274.8
165.9,296.9
181.4,314.9
200.6,329.1
225.6,332.9
252.5,328.1
276.6,313.4
296.4,295.2
310.2,273.9
317.5,249.9
319.6,224.4
320.2,198.5
319.9,173.2
148.6,144.1
160.1,133.7
175.0,131.0
189.9,133.6
203.0,140.5
239.7,138.7
255.3,131.1
271.0,128.7
286.3,131.0
297.3,140.4
221.0,159.5
219.6,176.2
218.4,192.7
217.3,210.0
198.8,220.5
208.6,224.6
219.0,228.0
230.7,224.1
241.4,220.0
164.7,165.4
174.6,160.0
185.8,160.1
196.1,165.3
185.1,167.0
174.3,166.9
248.8,164.1
259.6,158.2
270.9,157.8
280.6,162.5
271.3,164.6
260.3,164.9
181.1,253.5
193.2,244.1
208.9,241.2
220.2,243.2
233.4,240.6
252.3,243.0
269.8,250.9
254.0,271.4
235.9,280.8
221.4,282.9
209.0,282.1
193.0,274.0
186.9,254.4
209.4,250.1
220.7,250.6
234.1,249.0
263.8,252.5
235.5,268.1
221.5,270.2
209.8,269.4
