x,y
141.0,114.1
141.1,131.8
141.6,149.5
143.8,166.4
151.6,181.6
166.8,193.5
187.7,201.5
209.4,207.6
228.3,210.2
243.6,208.1
253.8,200.8
262.9,192.7
269.5,181.8
273.7,168.1
276.3,154.1
276.7,140.9
275.5,128.0
173.4,96.9
185.1,90.2
198.7,88.1
212.7,90.8
225.6,96.7
245.8,99.9
254.5,97.8
263.2,97.8
271.5,100.0
276.6,106.5
237.7,111.8
239.4,120.0
241.6,128.0
243.8,136.5
223.0,146.8
230.6,148.9
237.8,151.0
244.1,150.2
249.5,148.7
189.9,109.5
198.9,106.8
206.7,107.5
212.6,112.9
206.1,113.0
198.3,112.1
246.7,117.3
253.9,113.6
260.7,114.7
265.6,119.2
260.7,119.9
254.0,119.1
201.8,167.5
217.2,162.1
229.7,160.4
236.3,162.6
242.9,161.9
249.0,165.8
252.6,172.4
247.6,177.3
241.7,179.3
234.8,179.3
227.6,178.3
215.4,175.0
205.8,167.6
229.0,166.7
235.7,167.7
242.3,167.9
249.5,172.0
242.0,171.6
235.2,171.7
228.3,171.0
