x,y
100.2,304.2
100.8,317.5
103.1,330.6
106.1,343.3
110.5,355.4
117.0,366.3
125.1,375.5
134.3,383.1
145.7,385.6
158.1,384.3
170.5,378.4
182.1,370.5
191.3,360.5
197.1,348.4
200.2,334.8
202.1,320.7
203.0,306.3
102.7,295.0
108.2,289.3
116.4,288.2
124.8,289.8
132.6,293.4
149.6,292.6
159.3,288.5
169.4,286.9
179.6,288.2
187.5,293.7
141.5,304.6
140.9,313.7
140.2,322.7
139.5,332.0
132.2,338.2
136.7,339.9
141.3,341.3
146.6,340.0
151.6,338.4
112.4,305.5
117.3,301.9
124.2,302.2
129.9,307.1
124.0,308.6
117.1,308.5
157.1,306.8
162.9,301.5
170.2,301.3
176.5,304.8
171.1,307.9
163.9,308.2
126.8,356.1
131.7,352.7
137.4,350.6
141.6,352.0
146.5,350.8
154.3,353.0
162.7,356.2
154.9,362.0
147.6,364.4
142.3,364.7
137.6,364.2
132.0,361.7
129.7,356.3
137.6,355.5
142.0,356.0
147.0,355.6
159.2,356.4
147.0,357.5
142.0,357.9
137.6,357.3
95.8,90.8
97.0,105.0
99.6,119.4
103.3,133.1
109.5,145.6
119.1,155.9
130.7,163.8
144.0,169.6
157.9,170.5
170.6,168.0
181.3,161.1
190.9,152.0
198.8,140.5
203.6,126.8
205.8,111.9
206.5,97.0
206.0,82.2
104.8,73.9
112.3,67.3
122.3,64.7
132.7,64.9
142.1,67.3
161.9,65.2
171.2,61.1
180.4,59.5
189.6,60.7
196.9,66.1
153.3,78.9
154.5,87.5
155.8,95.9
157.1,104.7
145.1,114.9
151.1,116.0
157.0,116.8
162.6,115.0
167.6,113.2
116.9,85.1
123.2,80.6
130.9,80.1
137.7,84.1
131.2,86.1
123.5,86.9
167.6,81.4
173.6,76.2
181.0,75.8
187.0,78.9
182.1,81.6
174.9,82.3
135.7,136.6
144.6,131.1
152.6,127.8
158.1,128.7
164.0,126.9
171.5,129.0
178.5,132.6
172.5,138.9
165.6,142.0
159.3,143.0
153.3,143.1
144.8,141.5
139.5,136.4
152.7,133.4
158.3,133.3
164.3,132.3
175.4,133.0
164.4,134.5
158.4,135.5
152.7,135.5
