x,y
150.3,198.4
153.6,231.4
159.0,262.6
166.8,293.2
180.4,322.6
203.1,349.6
231.2,372.0
263.1,391.7
299.4,397.5
335.1,390.8
366.5,372.5
394.5,351.5
417.0,325.6
429.6,294.8
434.9,261.0
438.2,226.1
440.0,190.9
166.2,168.3
181.1,152.7
204.3,146.5
229.9,148.6
255.2,155.5
314.6,152.6
340.7,142.5
365.3,138.8
389.4,141.4
408.4,152.8
287.4,187.9
288.1,211.5
288.6,235.0
289.3,259.3
261.0,276.0
276.5,280.7
292.1,284.4
307.7,279.2
322.0,273.4
196.1,195.4
211.1,188.0
229.1,186.8
245.6,194.7
229.6,199.5
212.1,200.3
332.1,190.3
347.6,180.7
366.2,180.2
382.4,186.3
367.5,192.5
349.7,193.3
237.0,321.8
259.0,315.9
279.5,312.8
294.2,315.5
310.0,311.1
333.6,312.4
357.1,315.4
336.2,332.5
314.1,342.1
297.0,344.8
281.2,344.3
260.0,338.0
246.0,322.8
280.2,324.7
295.3,325.4
311.4,322.6
348.5,317.4
311.6,324.6
295.4,327.0
280.3,326.5
