x,y
439.1,341.2
439.6,367.3
441.1,393.9
444.1,420.2
452.5,445.2
468.5,467.3
489.4,484.7
515.0,498.5
545.3,502.1
576.1,497.3
603.5,483.8
625.7,466.6
642.1,445.1
650.5,418.6
652.2,389.7
652.3,361.1
651.5,333.1
452.8,316.5
464.6,304.8
481.8,300.6
499.8,302.4
517.3,307.3
561.4,305.6
580.7,298.6
599.0,296.3
617.0,298.9
630.8,308.7
540.6,325.0
540.7,341.9
540.7,358.9
540.8,376.8
517.1,389.7
529.2,393.9
541.8,397.3
554.8,392.9
566.5,388.5
475.4,332.1
486.8,327.0
499.1,326.2
511.1,330.8
498.8,332.6
487.0,333.3
571.7,328.6
584.0,323.1
596.4,323.1
607.7,327.2
596.6,329.2
584.9,329.4
491.7,422.2
510.9,416.7
529.3,415.4
542.7,417.4
558.4,414.2
578.1,414.9
598.0,418.6
578.8,431.2
559.4,437.1
542.8,439.1
528.7,438.5
510.3,434.3
498.3,423.4
529.3,423.5
543.0,424.3
558.9,422.0
591.5,420.0
558.5,425.0
542.5,427.0
528.8,426.6
