x,y
956.4,411.7
958.2,440.9
961.4,469.2
965.2,496.2
973.6,522.1
988.0,544.1
1004.9,561.8
1024.5,574.7
1049.3,578.3
1075.3,573.4
1097.5,557.2
1116.1,538.6
1128.7,518.1
1135.7,495.9
1140.1,474.3
1144.3,452.6
1146.6,431.0
967.4,392.7
980.6,377.4
1001.6,372.5
1022.5,376.5
1041.9,386.5
1078.9,389.8
1097.9,384.3
1116.7,383.5
1134.5,388.0
1143.8,401.9
1061.0,405.8
1059.2,424.3
1057.6,442.7
1056.3,461.8
1030.9,469.8
1041.9,474.8
1053.3,479.5
1065.4,476.7
1075.8,472.8
989.7,405.4
1001.7,399.9
1015.4,400.7
1026.7,408.9
1013.8,410.5
1000.3,409.7
1087.3,413.5
1101.1,407.4
1114.6,408.9
1124.2,416.1
1113.8,418.5
1100.6,417.0
1007.2,503.3
1023.6,497.3
1040.1,495.6
1050.1,499.1
1061.5,497.1
1076.5,501.5
1090.6,509.3
1074.8,521.3
1059.1,526.1
1046.9,526.6
1035.7,525.2
1020.4,518.6
1013.1,504.3
1039.5,504.6
1049.9,506.3
1061.4,505.9
1083.7,509.8
1060.7,511.8
1048.9,513.0
1038.4,511.7
